Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

79,108,UKR,NM,Leonid_Starozhilov,Leonid Starozhilov,2746,W513W,W430B,L36W,W313B,L6B,D173W,D139B,W119W,W132B,L27B,W123W,7,27.75
80,137,KAZ,FM,FloMasterAAK,Абдилхаир Абилмансур,2676,U--,L115W,W495B,W283W,W195B,W407B,L149W,W373B,W202B,L40W,W147B,7,27
80,193,INT,IM,bazar-wokzal,Nikolai Vlassov,2576,W332W,L392B,W283W,U--,W182B,W395W,W249B,W118W,L4B,L63W,W110B,7,27
82,11,GEO,GM,exoticprincess,Baadur Jobava,3002,W379B,W69W,W249B,W354W,D36B,D21W,L4B,L110W,L46B,D145B,W115W,6.5,36.25
82,52,INT,FM,snowlord,Ivan Yeletsky,2869,W134B,W164W,D84B,W382W,W356B,L16W,L59W,W100B,L101W,W89B,L48W,6.5,36.25
84,121,AUT,GM,assezde36,Valentin Dragnev,2812,W219B,W250W,D83W,L35B,W126B,L55W,L86W,W351B,W103W,W176B,L37B,6.5,35.25
84,15,BLR,GM,DenLaz,Denis Lazavik,3038,L270B,W182W,W103B,W424W,D41W,L59B,W250W,W93B,W47B,L20W,L50B,6.5,35.25
84,204,AUS,FM,SlipperySpeedster,Sravan Renjith,2700,D161B,W235W,L54W,W409B,D65W,D122W,W84B,L88B,W94W,L41B,W175W,6.5,35.25
87,93,CHN,NM,Abund,"Yuan, Qingyu",2705,W205B,W34W,L367W,D158B,W298W,W366W,L10B,W165B,L23W,W98B,L49W,6.5,34.25
88,101,SWE,IM,Topblitz,Jhon Snow,2827,W92B,D218W,W201B,L55W,W420B,W273W,L31B,W86W,L44W,W99B,L34B,6.5,32.75
89,134,ARM,FM,BENO_CHESS,Benik Agasarov,2706,L242W,D153B,W363W,W231B,W365B,L51W,W216W,L56B,W166B,L83W,W162B,6.5,31.75
90,196,RUS,IM,AldokhinIvan,,2667,W256B,L35B,W154W,L3W,W213B,W394B,L74W,W253W,L52B,W129W,D96B,6.5,30.75
91,317,CAN,CM,reevecanada,Aaron Mendes,2510,L422B,W305W,D369W,L417B,D43W,W261B,W183W,L357B,D190W,W232B,W165W,6.5,29.75
92,336,ARM,NM,Manukyan_Artak,Artak Manukyan,2441,L88W,L52B,D274B,W186W,W418B,L362W,W417W,W158B,W159B,W100W,L41W,6.5,29.25
92,139,PER,GM,Sychev_on_YouTube,Klementy Sychev,2846,W445W,D39B,W361W,L54B,W160B,W376W,L37B,L85W,W365B,W173W,L42B,6.5,29.25
92,415,DEU,FM,CarrotsandPizza,,2397,L112B,W333W,L426W,W212B,L132B,W134W,W147B,D362W,L86B,W215B,W173W,6.5,29.25
95,217,RUS,FM,Sadykov_Ramil,Рамиль Садыков,2577,W326W,L108W,W252B,W47B,W394W,L24B,L110B,D70W,W217B,L50W,W150B,6.5,29
95,96,IND,FM,Chessmissile07,,2841,W487W,W160B,L23B,W370W,D268B,W168W,L44W,L101B,W201W,D120B,D90W,6.5,29
97,119,KGZ,FM,Brave_spirit12,Eldiar Orozbaev,2770,L154B,W213W,L407B,W440W,W442B,W172B,W373W,L42B,W111W,D45B,L43W,6.5,28.25
98,170,ZAF,CM,Keithonsky,Keith Jeffrey Khumalo,2731,D491B,W222W,D395B,W256W,W403W,L4B,L353B,W116W,D170B,L87W,W176W,6.5,27.75
99,206,AND,GM,GasconJR,Jose Rafael Gascon,2571,W481B,L118W,W292B,L4B,W204W,L58W,D386B,W213W,W108B,L88W,W163B,6.5,27.25
100,125,SRB,IM,Kirill_Klukin,Kirill Klukin,2723,W455B,D453W,W218B,L51B,L232W,W410B,W158W,L83W,W142B,L92B,W160W,6.5,26.75
101,140,GRC,IM,Pelopidass,Georgios Kanakaris,2528,W444B,L1W,D195B,W410W,L361W,W414B,W381W,W96W,W83B,L12B,L45W,6.5,26.5
101,177,SVN,FM,KATPAH,Maksym Goroshkov,2704,L180W,W516B,L111W,W223B,W163B,W403W,L40B,D145B,W219W,W109W,L47B,6.5,26.5
103,249,NOR,FM,Martial2008,Aksel Bu Kvaloy,2659,L8B,W483W,L85W,W175B,L131W,D239B,W242W,W389W,L84B,W228W,W168B,6.5,26
104,306,SRB,FM,DvaHrasta,Stanoje Jovic,2513,L394W,W326B,L243W,W259B,L184B,W411W,W191W,L78B,W238B,D114W,W159B,6.5,25.5
105,144,BGR,IM,nurgyulsalimova,Nurgyul Salimova,2606,D459B,W505W,W317B,L2B,W198W,L56W,W160B,W108W,L38W,L55B,W158W,6.5,24.75
106,114,RUS,GM,Goryachkina,Aleksandra Goryachkina,2647,W489W,W460B,D375W,L21B,W417W,L361B,D362B,W370W,W75W,D49B,L38W,6.5,23.75
107,266,KAZ,FM,Chessdreamer2020,Arman Erzhanov,2532,L9W,W523B,L352W,W484W,L144B,W282W,L52B,D223W,W174B,W217W,W149B,6.5,21.75
108,71,SRB,GM,Mikhail_Bryakin,Mikhail Bryakin,2735,W278W,W95B,W2W,L23W,W34B,D42B,L25W,L105B,L99W,D177W,W200B,6,38.25
109,92,RUS,GM,alexrustemov,Alexander Rustemov,2861,W145W,W75B,L344B,W137W,D33W,L349B,D198W,W169B,D120W,L102B,D114B,6,36.75
110,100,COL,GM,Caracternin123,Santiago Avila Pavas,2749,W241W,W136B,W7W,L44B,L18W,W405B,W95W,W82B,L29W,L64B,L81W,6,35
111,323,BRA,FM,vidavi,Davi Sulzbacher,2427,L53B,W295W,W102B,W69W,L56B,L358B,W184W,W198B,L97B,W131W,L62B,6,32.5
111,179,AUT,IM,Frogo47,Manfred Freitag,2668,W94W,L36B,W116W,W131B,L26B,L143W,W197B,W372W,U--,W192W,L58B,6,32.5
113,55,RUS,GM,Anton_Demchenko,Anton Demchenko,2908,W192W,L399B,L152W,L197B,W175W,L182W,W161B,W214W,W207B,W119W,L57B,6,32
114,484,IND,IM,mbachez,Saravana Krishnan P,2465,U--,U--,L483B,W254W,W237B,W248W,W129W,W122B,L61W,D104B,D109W,6,30.75
115,344,MEX,FM,Haykoooo0o,,2472,L61W,W80B,W324W,W60W,L20B,W371B,W131W,L71B,W350W,L65W,L82B,6,30.5
116,315,CYP,IM,Artem_Sadovsky,Artem Sadovsky,2551,L19B,W217W,L112B,W246W,W164B,L57W,W141B,L98B,W211W,L126B,W194B,6,30
117,244,EGY,IM,m_ezat,Mohamed Ezat,2572,W18W,L58B,L256W,L282B,L271B,U--,W272W,W264B,W292W,W374B,W178W,6,27.5
117,65,RUS,GM,Vanina1989,Valentina Gunina,2700,W214W,W99B,W399W,L11B,W371W,L344B,W243W,L81B,W358W,L30B,L78W,6,27.5
119,231,UKR,GM,temiksmozg,Artem Omelja,2617,W293W,D343B,L412B,L56W,W153B,D257W,W402B,L79B,W154W,L113B,W182W,6,27.25
119,188,HUN,FM,csati17,Papp Levente,2682,W289B,D21B,L51W,L361B,W221W,W416W,D122B,W374W,D109B,D96W,L70W,6,27.25
121,451,EST,WCM,Sofia_Blokhin,Sofia Blokhin,2304,W232B,L382B,L160W,W178B,W438B,L47W,W162B,L123W,W231W,W181B,L67W,6,26.5
121,98,LTU,IM,OlegKrivonosov,,2693,W440W,D216B,W270W,L39B,D369W,D86B,D120W,L114W,D177B,D142W,W203W,6,26.5
121,201,JAM,FM,FMjchristie,Joshua Christie,2588,W499W,L359W,D409B,W242W,D66B,L74W,W155B,W121B,L72W,W182B,L79B,6,26.5
